"HolderAddress","Balance","PendingBalanceUpdate"
"0x9099f281b772c2b882a170431deddd495099c34c","34,918,490.97","No"
"0xb3f4ac7cfb632429603f61907c828fd74fce0bdc","34,804,310.6973","No"
"0x6ea0f63c25f88b55478eb4df0eb6e5d6948e2a38","34,504,495.96","No"
"0x5f96d886b374282942db914d511cff22b762b4c8","34,324,606.02793175","No"
"0xa5844d11f3bb3e0796c95b9bade84f7448414eb5","33,799,205.0461","No"
"0xc05e143d5eb9dec3dc84ea6e55c583c0ba117e10","33,770,384.04481331","No"
"0xa6c3997cc5a1dbfe6e72074424c2c0088286c71e","33,368,674.91","No"
"0x8c1fc775631b64cce890821b97432ca7316ceaff","33,351,860.752196173570699184","No"
"0x3c8c4311e349e7fe65e1b0747a0379fe13fb4921","33,190,080.8541","No"
"0xc0497408446d767cfe0110d4098b861151236237","32,223,873.5038","No"
"0x90243d2c4587d821ae808826c25eb12e6f8fda2f","32,060,000","No"
"0x2f615e2b844cc8a66797b3738f71fb706367fd4d","31,891,529.79","No"
"0x941a517042ad39156316a6169139c2dce9cff37e","31,806,119.6","No"
"0xfca0ef2ee09cf07a94ce6950c690837b21ed7af9","31,500,000","No"
"0xeb8a00bfd000481f2da6f3df01496cfe901dba2d","31,274,056.21","No"
"0x06a0ce4e301e4a9865585f3a73065f71796ca69d","31,224,665.37","No"
"0x09923c69a32118938a80c2bedd1d8762f638a2a2","31,204,186.924318082504950767","No"
"0x838a668671138c7e1d031a499dc58c2b95a5cc4d","30,929,835.20789299","No"
"0xe19985c2f123641f9c6d8bb6e8ee5b1949959827","30,609,898.1624","No"
"0x3fa24fb4c7b5027b2ec306349d0614ff6608ae86","30,574,411.047","No"
"0xc0317918db73227c482c0b6022cd3c24af7d2244","30,348,524.98647406","No"
"0x7645bd43e08d487ab30be10b6c9415951bbafde7","30,057,412.80691637","No"
"0x090e3f708fd0db57f26dfc44981e0d5b694a503f","29,022,857.5293","No"
"0x36bb8a019a99d65d6c05e51518cebae19bc37d33","28,901,220.93529554","No"
"0xc7b7eec266a0dbd6ba291d451821e2a72b7a850d","28,831,145.97167594","No"
"0x891765b65d691bd639287365bff7fe775dffd974","28,830,963.7274","No"
"0x6c94a3b9ac0a730094549781fb072e0453e7491c","28,642,204.68010024","No"
"0xe5017927159552dc81704ca09435154b87056d9c","28,339,972.5563","No"
"0x46da0b88336e8e291854802b832fecdd090e83bd","27,992,873.6099","No"
"0x2160b2d0f7d3c67795fcfa0cf8e76c7aed1cca59","27,815,780.70566887","No"
"0xae1cd63a9389fcf7f4c75bcfe4ea5a665a9410d4","27,727,852.88","No"
"0x250b3258f92a41abc4ba0c39613e0891094992d9","27,327,738.996","No"
"0xbe6c115965bdbb974cd776b8b216d3d214d72de9","27,272,527.47","No"
"0x093df5ca091d7b537f21e1708daed6825733970f","26,874,767.5989","No"
"0x3a3838334dfd5264a522ad5f6253bd62fa906157","26,862,839.0999","No"
"0x66060a192d06593afbd09cfa897e2c9ef06bcf68","26,683,932.5919301","No"
"0x04474dc33a5e59dfc278e36dac02eccc2f0662a8","26,053,938.81276048","No"
"0x75821c49fe42e54ce7a8b88708aad1e37d51c779","25,602,413.585203208468579016","No"
"0xf0346aacfd2d0472f053b485661d9cb4774b730d","25,364,886.8762","No"
"0xeb26902eb9177b252e5d9b426bd86ea23de8928e","25,360,000","No"
"0xb3f805331585bec92b8d7b1d09e20b4486a50bdc","25,356,481.1949","No"
"0xbab5fafb4be29c8d2bf1b399dc43c34e39e8cdf9","25,286,787.047306786666399192","No"
"0xb28f6a6a52caae0ca23f53f7033e452a6530e043","25,249,964.87","No"
"0xff6041941ebb22cc067a47a73c0dcbaf78e6952d","24,964,358.27500401335258941","No"
"0x12844e9df83fc34b13c426e64a8d6fd65ddf9d3c","24,490,504.72","No"
